Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040107;"Ikke-kromholdig slam, særlig fra behandling av avløpsvann på produksjonsstedet";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040108;"Kromholdig avfall av garvet lær (blåspalting, skav, avskjær, poleringsstøv)";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040109;"Avfall fra beredning og ferdigbehandling";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040199;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0402;"Avfall fra tekstilindustrien";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040201;"Utgått: §4.2)Avfall fra ubearbeidede tekstilfibre og andre naturlige fiberstoffer av hovedsakelig vegetabilsk opprinnelse";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040202;"Utgått: §4.2)Avfall fra ubearbeidede tekstilfibre av hovedsakelig animalsk opprinnelse";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040203;"Utgått: §4.2)Avfall fra ubearbeidede tekstilfibre av hovedsakelig kunstig eller syntetisk opprinnelse";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040204;"Utgått: §4.2)Avfall fra ubearbeidede tekstilfibre blandet før spinning og veving";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040205;"Utgått: §4.2)Avfall fra bearbeidede tekstilfibre av hovedsakelig vegetabilsk opprinnelse";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040206;"Utgått: §4.2)Avfall fra bearbeidede tekstilfibre av hovedsakelig animalsk opprinnelse";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040207;"Utgått: §4.2)Avfall fra bearbeidede tekstilfibre av hovedsakelig kunstig eller syntetisk opprinnelse";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040208;"Utgått: §4.2)Avfall fra bearbeidede tekstilfibre i blanding";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040209;"Avfall av komposittmaterialer (impregnerte tekstiler, elastomer, plastomer)";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040210;"Organiske stoffer av naturprodukter (for eksempel fett, voks)";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040211;"Utgått: Halogenert avfall fra beredning og ferdiggjøring";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040212;"Utgått: §4.2)Ikke-halogenert avfall fra beredning og ferdiggjøring";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040213;"Utgått: Fargestoffer og pigmenter (som inneholder tungmetaller)";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040214;"Avfall fra etterbehandling som inneholder organiske løsemidler";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040215;"Annet avfall fra etterbehandling enn det nevnt i 04 02 14";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040216;"Fargestoffer og pigmenter som inneholder farlige stoffer";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040217;"Andre fargestoffer og pigmenter enn dem nevnt i 04 02 16";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040219;"Slam fra behandling av avløpsvann på produksjonsstedet som inneholder farlige stoffer";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040220;"Annet slam fra behandling av avløpsvann på produksjonsstedet enn det nevnt i 04 02 19";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040221;"Avfall av ubearbeidede tekstilfibrer";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040222;"Avfall av bearbeidede tekstilfibrer";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;040299;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
1;05;"Avfall fra oljeraffinering, rensing av naturgass og pyrolytisk behandling av kull";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0501;"Avfall fra oljeraffinering";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050101;"Utgått: Slam fra lokal behandling av avløpsvann";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050102;"Avsaltingsslam";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050103;"Bunnslam fra tanker";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050104;"Alkylsyreslam";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050105;"Oljespill";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050106;"Oljeholdig slam fra vedlikeholdsarbeid på anlegg eller utstyr";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050107;"Syreholdig tjære";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050108;"Annen tjære";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050109;"Slam fra behandling av avløpsvann på produksjonsstedet som inneholder farlige stoffer";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050110;"Annet slam fra behandling av avløpsvann på produksjonsstedet enn det nevnt i 05 01 09";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050111;"Avfall fra behandling av brennstoff med baser";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050112;"Syreholdig olje";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050113;"Slam fra behandling av tilførselsvann til kjeler";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050114;"Avfall fra kjølekolonner";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050115;"Brukte filtreringsleirer";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050116;"Svovelholdig avfall fra avsvovling av olje";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050117;"Bitumen";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050199;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0502;"UTGÅTT: IKKE-OLJEHOLDIG SLAM OG FAST AVFALL";Nei;Nei
